PDB	Name
24XY	BRIL
25IF	FLAG-M4(2-23) fusion
25IK	BRIL
25IK	LgBiT tag
25IL	BRIL
25IL	LgBiT tag
26XH	BRIL
2RH1	T4-Lysozyme
3ODU	T4-Lysozyme
3OE0	T4-Lysozyme
3OE6	T4-Lysozyme
3OE8	T4-Lysozyme
3SN6	T4-Lysozyme
4DAJ	T4-Lysozyme
4DKL	T4-Lysozyme
4EA3	BRIL
4EIY	BRIL
4K5Y	T4-Lysozyme
4MBS	Rubredoxin
4QKX	T4-Lysozyme
4U15	mT4L (minimal T4 Lysozyme)
4U16	mT4-Lysozyme
4XNW	Rubredoxin
4ZJC	Pyrococcus abysii glycogen synthase (PGS)
5CXV	T4-Lysozyme
5D5A	T4-Lysozyme
5DGY	T4-Lysozyme
5DHG	BRIL
5DHH	BRIL
5DSG	minimal T4-Lysozyme (mT4L)
5EE7	T4-Lysozyme
5K2C	BRIL
5L7D	BRIL
5L7I	BRIL
5NDZ	T4-Lysozyme
5NDZ	BRIL
5T04	T4-Lysozyme
5UEN	BRIL
5UNF	BRIL
5UNH	BRIL
5V56	Flavodoxin
5V57	Flavodoxin
5VEW	T4-Lysozyme
5WIU	BRIL
5X7D	T4-Lysozyme
5XF1	T4-Lysozyme
5XRA	Flavodoxin
5ZHP	T4-Lysozyme
5ZKQ	minimal T4-Lysozyme (mT4L)
6AKX	Rubredoxin
6AKY	Rubredoxin
6C1R	BRIL
6CMO	BRIL
6D26	T4-Lysozyme
6D27	T4-Lysozyme
6D32	BRIL
6FJ3	GlgA glycogen synthase
6H7J	Thioredoxin 1
6H7O	Thioredoxin 1
6K42	T4-Lysozyme
6KUW	BRIL
6LN2	Rubredoxin
6LPL	BRIL
6ME6	BRIL
6ME6	Rubredoxin
6ME7	BRIL
6ME7	Rubredoxin
6PT2	BRIL
6PT3	BRIL
6RZ5	BRIL
6TPJ	GlgA glycogen synthase
6VI4	BRIL
6VMS	T4-Lysozyme
6WH4	BRIL
6WHA	BRIL
6YVR	DARPin D12
6Z8N	DARPin D12
7B6W	DARPin D12
7BVQ	T4-Lysozyme
7BW0	BRIL
7C6A	BRIL
7CFM	BRIL
7CFN	BRIL
7D68	LgBiT
7D68	HiBiT
7DTY	BRIL
7DTY	Maltose-binding protein
7E2X	BRIL
7E2Y	BRIL
7E2Z	BRIL
7EIB	BRIL
7EIB	LgBiT
7EIB	HiBiT
7EZC	BRIL
7F1T	Rubredoxin
7F2O	BRIL
7F2O	LgBiT
7F4D	BRIL
7F4D	LgBiT
7F4F	BRIL
7F4F	LgBiT
7F4H	BRIL
7F4H	LgBiT
7F4I	BRIL
7F4I	LgBiT
7F61	BRIL
7F6G	Maltose-binding protein (MBP)
7F6H	Maltose-binding protein
7F83	BRIL
7F9Y	BRIL
7F9Z	BRIL
7FIM	BRIL
7FIM	LgBiT
7FIN	BRIL
7FIY	BRIL
7IN4	BRIL
7INC	BRIL
7IOF	BRIL
7ION	BRIL
7IOR	BRIL
7IPF	BRIL
7S0G	T4-Lysozyme
7S8P	BRIL
7SRR	BRIL
7UM4	PGS
7V3Z	Flavodoxin
7VOD	BRIL
7VQX	LgBiT
7VUH	Endo-1,4-beta-xylanase
7VUI	Endo-1,4-beta-xylanase
7VUJ	Endo-1,4-beta-xylanase
7VUY	BRIL
7W3Z	Maltodextrin-binding protein
7W3Z	LgBiT
7W3Z	HiBiT
7W40	Maltose-binding protein (MBP)
7W40	LgBiT (NanoBiT)
7W53	BRIL
7W53	LgBiT
7W55	BRIL
7W56	BRIL
7W56	LgBiT
7W57	BRIL
7WUI	mCherry
7WVY	BRIL
7XBD	BRIL
7XP4	Endoglucanase H
7XP5	Endoglucanase H
7XP6	Endoglucanase H
7XW9	BRIL
7XWO	BRIL
7Y15	BRIL
7YJ4	BRIL
7YJ4	LgBiT
7YJ4	HiBiT
7YM8	mT4-Lysozyme
7YMH	minimal-T4 Lysozyme (mT4L)
7YXA	BRIL
7ZI0	BRIL
8DCR	T4-Lysozyme
8DCS	T4-Lysozyme
8EIT	T4-Lysozyme
8EJC	T4-Lysozyme
8EJK	T4-Lysozyme
8GTM	Endolysin
8GY7	BRIL
