PDB	Name
2R4R	Antibody
2R4S	Antibody
3KJ6	Antibody
3P0G	Nanobody
3SN6	Antibody
3VG9	Antibody fab fragment light chain
3VG9	Antibody fab fragment heavy chain
4LDE	Nanobody
4LDL	Nanobody
4LDO	Nanobody
4MQS	Nanobody
4MQT	Nanobody
4QKX	Nanobody
4XT1	Nanobody
5C1M	Antibody
5JQH	Nanobody
5NJ6	Fab3949
5XEZ	Antibody
5XF1	Antibody
5TUD	Antibody
6B73	Nanobody
6GDG	Nanobody-35
5WB1	Nanobody
5WB2	Nanobody
6DDE	Antibody
6CMO	Fab
5XJM	Fab
6E3Y	Nanobody-35
6H7J	Camelid antibody fragment Nb80
6H7L	Camelid antibody fragment Nb6B9
6H7M	Camelid antibody fragment Nb6B9
6H7N	Camelid antibody fragment Nb6B9
6H7O	Camelid antibody fragment Nb6B9
6MXT	Nanobody-71
5YHL	Fab
5YWY	Fab
6MEO	T-cell surface glycoprotein CD4
6MET	T-cell surface glycoprotein CD4
6IBL	Camelid antibody fragment Nb80
6N51	Nanobody-43
6N52	Nanobody-43
6DO1	Nanobody-Nb.AT110i1
6N4B	scFv16
6NBF	Nanobody-35
6NBH	Nanobody-35
6NBI	Nanobody-35
6OIJ	Antibody fragment
6OT0	Fab light chain
6OT0	Fab heavy chain
6N48	Camelid Antibody Fragment
6O3C	Nanobody-Smo8
6OS9	scFv16
6QNO	Fab antibody fragment light chain
6QNO	Fab antibody fragment heavy chain
6OYA	Camelid antibody VHH fragment
6IBB	Nanobody-6
6RNK	Nanobody-6
6NI3	Nanobody-35
6PWC	Fab30 heavy chain
6PWC	Fab30 light chain
6ORV	Nanobody-35
6JOD	Heavy chain of 4A03Fab
6JOD	Light chain of 4A03Fab
6P9X	Nanobody-35
6P9Y	Nanobody-35
6KPF	scFv16
6KPG	scFv16
6PB0	Nanobody-35
6PB1	Nanobody-35
6PT0	scFv16
6OS0	Nanobody-Nb.AT110i1
6OS1	Nanobody-Nb.AT110i1_le
6OS2	Nanobody-Nb.AT110i1_le
6LI3	Nanobody-35
6U1N	Fab30 light chain
6U1N	Fab30 heavy chain
6LPB	Nanobody-35
6M1H	Nanobody-35
6M1I	Nanobody-35
6LN2	Fab7F38 light chain
6LN2	Fab7F38 heavy chain
6VI4	Nanobody-6
6UUN	Nanobody-35
6LMK	Nanobody-35
6LML	scFv16
6UUS	Nanobody-35
6UVA	Nanobody-35
6K41	scFv
6K42	scFv
6WHC	Nanobody-35
6TKO	Fab30 heavy chain
6TKO	Fab30 light chain
6VMS	scFv16
6WWZ	scFv16
6VCB	Nanobody-35
7C61	IgG heavy chain
7C61	IgG light chain
7C6A	IgG heavy chain
7C6A	IgG light chain
7BZ2	Nanobody-35
6KO5	Fab7881 heavy chain
6KO5	Fab7881 light chain
6WI9	Nanobody-35
6WPW	Nanobody-35
6WZG	Nanobody-35
6WW2	anti-BRIL Fab heavy chain
6WW2	anti-BRIL Fab light chain
6WW2	anti-Fab Nanobody
7C2E	Nanobody-35
6LFM	scFv16
6LFO	scFv16
6VN7	Nanobody-35
7BW0	Nanobody-35
7JJO	Nanobody-35
6X18	Nanobody-35
6X19	Nanobody-35
6X1A	Nanobody-35
7CFM	Nanobody-35
7CFN	Nanobody-35
6Z10	Nanobody-6
6WHA	scFv16
6XBJ	scFv16
6XBK	scFv16
6XBL	scFv16
6XBM	scFv16
7D3S	Nanobody-35
6XOX	scFv16
6XOX	Nanobody-35
7CZ5	Nanobody-35
