PDB	Name
24XY	LgBiT tag
24XY	GFP
25IK	HiBiT tag
5CXV	FLAG peptide
7SHF	Isoform 2 of Regulator of G-protein signaling 7
8IRU	LgBiT
8IRU	SmBiT
8XXU	HiBiT (SmBiT)
8YH0	HA tag
8YNS	Glue molecule 4-9
9KDF	FKBP1B
9KDG	FKBP1B
7TYY	apyrase
8HBD	HiBiT
8YNT	Glue molecule 4-9
9CHU	Protein phosphatase 3 catalytic subunit alpha
9CHU	Peptidyl-prolyl cis-trans isomerase FKBP1A
9CHV	Protein phosphatase 3 catalytic subunit alpha
9CHV	Peptidyl-prolyl cis-trans isomerase FKBP1A
9CHX	Protein phosphatase 3 catalytic subunit alpha
9CHX	Peptidyl-prolyl cis-trans isomerase FKBP1A
9T9P	Beta-lactamase inhibitory protein II (BLIPII)
7EWP	Regulator of G-protein signaling 7


