PDB	Name
20ZX	scFv16
23SO	scFv16
24XY	scFv16
25IK	scFv16
25IL	scFv16
25ST	scFv16
25SU	scFv16
26XH	scFv16
6K42	scFv16
6OIJ	scFv16
6VMS	scFv16
6WHA	scFv16
6XBL	scFv16
6XBM	scFv16
6XOX	scFv16
7D77	scFv16
7DFL	scFv16
7EQ1	scFv16
7EZM	scFv16
7F2O	scFv16
7F4F	scFv16
7F4H	scFv16
7F8W	scFv16
7F9Z	scFv16
7L1U	scFv16
7L1V	scFv16
7P00	scFv16
7QVM	scFv16
7RAN	scFv16
7RKF	scFv16
7RKM	scFv16
7RYC	scFv16
7S8L	scFv16
7S8N	scFv16
7S8P	scFv16
7SR8	scFv16
7SRR	scFv16
7T6U	scFv16
7TRY	scFv16
7TS0	scFv16
7VKT	scFv16
7VUY	scFv16
7VUZ	scFv16
7W3Z	scFv16
7W40	scFv16
7W53	scFv16
7W55	scFv16
7W56	scFv16
7W57	scFv16
7W7E	scFv16
7WKD	scFv16
7WUI	scFv16
7WV9	scFv16
7X1T	scFv16
7X1U	scFv16
7XBD	scFv16
7XJK	scFv16
7XJL	scFv16
7XOW	scFv16
7XW9	scFv16
7XWO	scFv16
7XXH	scFv16
7Y15	scFv16
7Y26	scFv16
7Y27	scFv16
7YFC	scFv16
7YFD	scFv16
7YJ4	scFv16
8DPF	scFv16
8DPG	scFv16
8DPH	scFv16
8DPI	scFv16
8DWC	scFv16
8DWG	scFv16
8DZR	scFv16
8E9W	scFv16
8E9Y	scFv16
8E9Z	scFv16
8EIT	scFv16
8EJC	scFv16
8EJK	scFv16
8F7Q	scFv16
8F7R	scFv16
8FMZ	scFv16
8FX5	scFv16
8G59	scFv16
8G94	scFv16
8H0P	scFv16
8H0Q	scFv16
8H8J	scFv16
8HCQ	scFv16
8HCX	scFv16
8HJ5	scFv16
8I9A	scFv16
8IA7	scFv16
8IBU	scFv16
8IBV	scFv16
8IRU	scFv16
8IUK	scFv16
8IUL	scFv16
8IUM	scFv16
8IW1	scFv16
8IW9	scFv16
8IZ4	scFv16
8JBF	scFv16
8JBG	scFv16
8JBH	scFv16
8JD5	scFv16
8JGF	scFv16
8JLJ	scFv16
8JLK	scFv16
8JLN	scFv16
8JLQ	scFv16
8JLR	scFv16
8JRV	scFv30
8JSO	scFv16
8JSR	scFv16
8K3Z	scFv16
8K4S	scFv16
8K9K	scFv16
8RQL	scFv16
8T3O	scFv16
8T3Q	scFv16
8T3S	scFv16
8T3V	scFv16
8TB0	scFv16
8THK	scFv16
8THL	scFv16
8UWL	scFv16
8V6U	scFv16
8VVG	scFv16
8VY9	scFv16
8W8R	scFv16
8WC9	scFv16
8WCA	scFv16
8WCB	scFv16
8WPU	scFv16
8WRB	scFv16
8WRZ	scFv30
8WWH	scFv16
8WZ2	scFv16
8X16	scFv16
8X17	scFv16
8X8L	scFv16
8X8N	scFv16
8X9T	scFv16
8X9U	scFv16
8XGO	scFv16
8XGS	scFv16
8XJK	scFv16
8XJL	scFv16
8XJM	scFv16
8XJN	scFv16
8XJO	scFv16
8XOG	scFv16
8XOH	scFv16
8XOI	scFv16
8XOJ	scFv16
8XOR	scFv16
8XQN	scFv16
8XQO	scFv16
8XQP	scFv16
8XQS	scFv16
8XQT	scFv16
8XXU	scFv16
8Y53	scFv16
8YFS	scFv16
8YH0	scFv16
8YH2	scFv16
8YH3	scFv16
8YH5	scFv16
8YH6	scFv16
8YKD	scFv16
8YKY	scFv16
8YN2	scFv16
8YN4	scFv16
8YRG	scFv16
8YRQ	scFv16
8YUU	scFv16
8YYW	scFv16
8YYX	scFv16
8Z3M	scFv16
8Z9P	scFv16
8ZBE	scFv16
8ZFA	scFv16
8ZH8	scFv16
8ZJD	scFv16
8ZJE	scFv16
8ZPS	scFv16
8ZPT	scFv16
9ARY	scFv16
9AS0	scFv16
9AS2	scFv16
9AS4	scFv16
9AS6	scFv16
9AS8	scFv16
9ASA	scFv16
9AST	scFv16
9AXF	scFv16
9AYF	scFv16
9B5Y	scFv16
9CLW	scFv16
9CM3	scFv16
9D0A	scFv16
9D4Z	scFv16
9DQH	scFv16
9DQJ	scFv16
9E7R	scFv16
9EJZ	scFv16
9GE2	scFv16
9GGG	scFv16
9IJD	scFv16
9IJE	scFv16
9IQT	scFv16
9ITE	scFv16
9IXX	scFv16
9IYB	scFv16
9IZG	scFv16
9J31	scFv16
9J5V	scFv16
9J87	scFv16
9JH5	scFv16
9JH6	scFv16
9JHP	scFv16
9JMC	scFv16
9JMD	scFv16
9JR2	scFv16
9JR3	scFv16
9JVG	scFv16
9K07	scFv16
9KPE	scFv16
9KUV	scFv30
9KUW	scFv30
9KUX	scFv30
9KZK	scFv16
9L42	scFv16
9L74	scFv16
9L8L	scFv30
9LDV	scFv16
9LDW	scFv16
9LDX	scFv16
9LE0	scFv16
9LE1	scFv16
9LE2	scFv16
9LR1	scFv16
9LRS	scFv16
9M1R	scFv16
9M1S	scFv16
9M1U	scFv16
9M54	scFv16
9M55	scFv16
9M57	scFv16
9OXB	scFv16
9U4W	scFv16
9U4Y	scFv16
9UAM	scFv16
9UAN	scFv16
9UCO	scFv30
9UK2	scFV16
9UST	scFv16
9UYN	scFv30
9V0X	scFv16
9V1H	scFv16
9V2N	scFv16
9V81	scFv16
9VAW	scFv16
9VB6	scFv16
9VJ6	scFv16
9VMG	scFv16
9VMN	scFv16
9VMO	scFv16
9VMP	scFv16
9VO2	scFv16
9VPM	scFv16
9VUS	scFv16
9VV6	scFv16
9WP9	scFv16
9WPM	scFv16
9WQL	scFv16
9WQM	scFv16
9WQN	scFv16
9X3Z	scFv16
9X40	scFv16
9XHH	scFv16
9XHI	scFv16
9XQC	scFv16
9YDA	scFv16
9YGZ	scFv16
12IZ	scFv16
20ZC	scFv16
20ZG	scFv16
20ZH	scFv16
20ZI	scFv16
20ZJ	scFv16
20ZK	scFv16
21AG	scFv16
22ES	scFv16
23IV	scFv16
23IW	scFv16
24QH	scFv16
24XB	scFv16
24XZ	scFv16
6DDE	scFv16
6K41	scFv16
6KPF	scFv16
6KPG	scFv16
6LFM	scFv16
6LFO	scFv16
6LML	scFv16
6N4B	scFv16
6OIK	scFv16
6OMM	scFv16
6OS9	scFv16
6PT0	scFv16
6WWZ	scFv16
6XBJ	scFv16
6XBK	scFv16
7AUE	scFv16
7CMU	scFv16
7CMV	scFv16
7DB6	scFv16
7DW9	scFv16
7E32	scFv16
7E33	scFv16
7E9G	scFv16
7E9H	scFv16
7EB2	scFv16
7EJ0	scFv16
7EJ8	scFv16
7EJA	scFv16
7EJK	scFv16
7EJX	scFv16
7EO2	scFv16
7EO4	scFv16
7EUO	scFv16
7EVY	scFv16
7EVZ	scFv16
7EW0	scFv16
7EW1	scFv16
7EW2	scFv16
7EW3	scFv16
7EW4	scFv16
7EW7	scFv16
7EXD	scFv16
7EZH	scFv16
7JHJ	scFv16
7JVR	scFv16
7KH0	scFv16
7NA7	scFv16
7NA8	scFv16
7P02	scFv16
7R0C	scFv30
7RA3	scFv16
7RBT	scFv16
7RG9	scFv16
7RGP	scFv16
7RKN	scFv16
7S8M	scFv16
7S8O	scFv16
7SBF	scFv16
7SCG	scFv16
7SQO	scFv16
7T10	scFv16
7T11	scFv16
7T2H	scFv16
7T6B	scFv16
