PDB	Name
2RH1	T4-Lysozyme
3D4S	T4-Lysozyme
3EML	T4-Lysozyme
3NY8	T4-Lysozyme
3NY9	T4-Lysozyme
3NYA	T4-Lysozyme
3ODU	T4-Lysozyme
3OE0	T4-Lysozyme
3OE6	T4-Lysozyme
3OE8	T4-Lysozyme
3OE9	T4-Lysozyme
3PBL	T4-Lysozyme
3PDS	T4-Lysozyme
3P0G	T4-Lysozyme
3QAK	T4-Lysozyme
3RZE	T4-Lysozyme
3SN6	T4-Lysozyme
3UON	T4-Lysozyme
3V2W	T4-Lysozyme
3V2Y	T4-Lysozyme
4DAJ	T4-Lysozyme
4DJH	T4-Lysozyme
4DKL	T4-Lysozyme
4EA3	BRIL
4EJ4	T4-Lysozyme
4EIY	BRIL
4GRV	T4-Lysozyme
4GBR	T4-Lysozyme
3VW7	T4-Lysozyme
4IAQ	BRIL
4IAR	BRIL
4IB4	BRIL
4JKV	BRIL
4K5Y	T4-Lysozyme
4L6R	BRIL
4MBS	Rubredoxin
4LDE	T4-Lysozyme
4LDL	T4-Lysozyme
4LDO	T4-Lysozyme
4NC3	BRIL
4N6H	BRIL
4N4W	BRIL
4O9R	BRIL
4OR2	BRIL
4NTJ	BRIL
4PXZ	BRIL
4PY0	BRIL
4OO9	T4-Lysozyme
4PHU	T4-Lysozyme
4QIM	BRIL
4QIN	BRIL
4QKX	T4-Lysozyme
4U14	T4-Lysozyme
4U15	T4-Lysozyme
4U16	T4-Lysozyme
4RWA	BRIL
4RWD	BRIL
4S0V	Glycogen synthase
4RWS	T4-Lysozyme
4XNV	Rubredoxin
4XNW	Rubredoxin
4YAY	BRIL
4Z34	BRIL
4Z35	BRIL
4Z36	BRIL
4XEE	T4-Lysozyme
4XES	T4-Lysozyme
4ZWJ	T4-Lysozyme
5CGC	T4-Lysozyme
5CGD	T4-Lysozyme
4ZUD	BRIL
5DHG	BRIL
5DHH	BRIL
5D5A	T4-Lysozyme
5D5B	T4-Lysozyme
4ZJ8	GlgA glycogen synthase
4ZJC	GlgA glycogen synthase
5CXV	T4-Lysozyme
5DSG	T4-Lysozyme
5DGY	T4-Lysozyme
5EE7	T4-Lysozyme
4Z9G	T4-Lysozyme
5IU4	BRIL
5IU7	BRIL
5IU8	BRIL
5IUA	BRIL
5IUB	BRIL
5JQH	T4-Lysozyme
5L7D	BRIL
5L7I	BRIL
5D6L	T4-Lysozyme
5GLH	T4-Lysozyme
5GLI	T4-Lysozyme
5K2A	BRIL
5K2B	BRIL
5K2C	BRIL
5K2D	BRIL
5TGZ	Flavodoxin
5U09	Glycogen synthase
5T1A	T4-Lysozyme
5T04	T4-Lysozyme
5TVN	BRIL
