P08908 5ht1a_human
P28222 5ht1b_human
P28221 5ht1d_human
P28566 5ht1e_human
P30939 5ht1f_human
P28223 5ht2a_human
P41595 5ht2b_human
P28335 5ht2c_human
Q13639 5ht4r_human
P47898 5ht5a_human
P50406 5ht6r_human
P34969 5ht7r_human
P11229 acm1_human
P08172 acm2_human
P14416 drd2_human
P20309 acm3_human
P08173 acm4_human
P08912 acm5_human
P35348 ada1a_human
P35368 ada1b_human
P25100 ada1d_human
P08913 ada2a_human
P18089 ada2b_human
P18825 ada2c_human
P08588 adrb1_human
P07550 adrb2_human
P13945 adrb3_human
P21728 drd1_human
H5ZU06 h5zu06_9gobi
P35462 drd3_human
P21917 drd4_human
P21918 drd5_human
P35367 hrh1_human
P25021 hrh2_human
Q9Y5N1 hrh3_human
Q9H3N8 hrh4_human
Q96RJ0 taar1_human
P30556 agtr1_human
P50052 agtr2_human
P35414 apj_human
P28336 nmbr_human
P30550 grpr_human
P32247 brs3_human
P46663 bkrb1_human
P30411 bkrb2_human
P32238 cckar_human
P32239 gasr_human
Q16581 c3ar_human
P21730 c5ar1_human
Q9P296 c5ar2_human
P25101 ednra_human
P24530 ednrb_human
P21462 fpr1_human
P25090 fpr2_human
P25089 fpr3_human
P47211 galr1_human
O43603 galr2_human
O60755 galr3_human
Q92847 ghsr_human
P30968 gnrhr_human
Q96P88 gnrr2_human
P59537 t2r43_human
Q969F8 kissr_human
Q99705 mchr1_human
Q969V1 mchr2_human
Q01726 mshr_human
Q01718 acthr_human
P41968 mc3r_human
P32245 mc4r_human
P33032 mc5r_human
O43193 mtlr_human
Q9HB89 nmur1_human
Q9GZQ4 nmur2_human
Q9GZQ6 npff1_human
Q9Y5X5 npff2_human
Q6W5P4 npsr1_human
P48145 npbw1_human
P48146 npbw2_human
P59540 t2r46_human
P25929 npy1r_human
P49146 npy2r_human
P50391 npy4r_human
Q15761 npy5r_human
Q99463 npy6r_human
P30989 ntr1_human
O95665 ntr2_human
P41143 oprd_human
P41145 oprk_human
P35372 oprm_human
P41146 oprx_human
O43613 ox1r_human
O43614 ox2r_human
Q96P65 qrfpr_human
P49683 prlhr_human
P25116 par1_human
P55085 par2_human
O00254 par3_human
Q96RI0 par4_human
Q9HBX9 rxfp1_human
Q8WXD0 rxfp2_human
Q9NSD7 rl3r1_human
Q8TDU9 rl3r2_human
P30872 ssr1_human
P30874 ssr2_human
P32745 ssr3_human
P31391 ssr4_human
P35346 ssr5_human
P25103 nk1r_human
P21452 nk2r_human
P59536 t2r41_human
P29371 nk3r_human
P34981 trfr_human
Q9UKP6 ur2r_human
P37288 v1ar_human
P47901 v1br_human
P30518 v2r_human
P30559 oxyr_human
Q99788 cml1_human
P32246 ccr1_human
P41597 ccr2_human
P51677 ccr3_human
P51679 ccr4_human
P51681 ccr5_human
P51684 ccr6_human
P32248 ccr7_human
P51685 ccr8_human
P59551 t2r60_human
P51686 ccr9_human
P46092 ccr10_human
P25024 cxcr1_human
P25025 cxcr2_human
P49682 cxcr3_human
P61073 cxcr4_human
P32302 cxcr5_human
O00574 cxcr6_human
P49238 cx3c1_human
P46094 xcr1_human
Q16570 ackr1_human
O00590 ackr2_human
P25106 ackr3_human
Q9NPB9 ackr4_human
O00421 ccrl2_human
P23945 fshr_human
Q9HBW0 lpar2_human
P22888 lshr_human
P16473 tshr_human
Q8TCW9 pkr1_human
Q8NFJ6 pkr2_human
O14842 ffar1_human
O15552 ffar2_human
O14843 ffar3_human
Q5NUL3 ffar4_human
O15529 gpr42_human
Q15722 lt4r1_human
Q9NPC1 lt4r2_human
Q9Y271 cltr1_human
Q9NS75 cltr2_human
Q8TDS5 oxer1_human
Q92633 lpar1_human
P59544 t2r50_human
Q9UBY5 lpar3_human
Q99677 lpar4_human
Q9H1C0 lpar5_human
P43657 lpar6_human
P21453 s1pr1_human
O95136 s1pr2_human
Q99500 s1pr3_human
O95977 s1pr4_human
Q9H228 s1pr5_human
P21554 cnr1_human
P34972 cnr2_human
Q14330 gpr18_human
Q9Y2T6 gpr55_human
Q8TDV5 gp119_human
P25105 ptafr_human
Q13258 pd2r_human
Q9Y5Y4 pd2r2_human
P34995 pe2r1_human
P43116 pe2r2_human
P43115 pe2r3_human
P35408 pe2r4_human
P43088 pf2r_human
P43119 pi2r_human
P21731 ta2r_human
P48039 mtr1a_human
P49286 mtr1b_human
P30542 aa1r_human
P29274 aa2ar_human
P29275 aa2br_human
P33765 aa3r_human
P47900 p2ry1_human
P41231 p2ry2_human
P51582 p2ry4_human
Q15077 p2ry6_human
Q96G91 p2y11_human
Q9H244 p2y12_human
Q9BPV8 p2y13_human
Q15391 p2y14_human
Q8TDU6 gpbar_human
Q99527 gper1_human
Q9BXC0 hcar1_human
Q8TDS4 hcar2_human
P49019 hcar3_human
Q96P68 oxgr1_human
Q9BXA5 sucr1_human
P08100 opsd_human
Q9UHM6 opn4_human
Q9H1Y3 opn3_human
Q6U736 opn5_human
P03999 opsb_human
P04001 opsg_human
P04000 opsr_human
Q9NYW7 ta2r1_human
Q9NYW6 ta2r3_human
Q9NYW5 ta2r4_human
Q9NYW4 ta2r5_human
Q9NYW3 ta2r7_human
Q9NYW2 ta2r8_human
Q9NYW1 ta2r9_human
Q9NYW0 t2r10_human
Q9NYV9 t2r13_human
Q9NYV8 t2r14_human
Q9NYV7 t2r16_human
P59542 t2r19_human
P59543 t2r20_human
Q7RTR8 t2r42_human
P59541 t2r30_human
P59538 t2r31_human
P59534 t2r39_human
P59535 t2r40_human
H0VY10 h0vy10_cavpo
P59533 t2r38_human
P46091 gpr1_human
P46089 gpr3_human
P46093 gpr4_human
P46095 gpr6_human
P47775 gpr12_human
P49685 gpr15_human
Q13304 gpr17_human
Q15760 gpr19_human
Q99678 gpr20_human
Q99679 gpr21_human
Q99680 gpr22_human
O00155 gpr25_human
Q8NDV2 gpr26_human
Q9NS67 gpr27_human
O00270 gpr31_human
O75388 gpr32_human
T2EUA4 t2eua4_9pass
Q49SQ1 gpr33_human
Q9UPC5 gpr34_human
Q9HC97 gpr35_human
O15354 gpr37_human
O60883 etbr2_human
O43194 gpr39_human
Q9Y5Y3 gpr45_human
Q13585 mtr1l_human
Q9Y2T5 gpr52_human
Q9BZJ8 gpr61_human
Q9BZJ7 gpr62_human
Q9BZJ6 gpr63_human
Q8IYL9 psyr_human
Q15743 ogr1_human
O95800 gpr75_human
Q2Q8I8 q2q8i8_phyco
Q96P69 gpr78_human
Q96P67 gpr82_human
Q9NYM4 gpr83_human
Q9NQS5 gpr84_human
P60893 gpr85_human
Q9BY21 gpr87_human
Q9GZN0 gpr88_human
Q96P66 gp101_human
Q9UNW8 gp132_human
Q8IZ08 gp135_human
Q6DWJ6 gp139_human
Q7Z602 gp141_human
Q7Z601 gp142_human
Q96CH1 gp146_human
Q8TDV2 gp148_human
O00398 p2y10_human
A8CUR4 a8cur4_9neob
Q86SP6 gp149_human
Q8NGU9 gp150_human
Q8TDV0 gp151_human
Q8TDT2 gp152_human
Q6NV75 gp153_human
Q9UJ42 gp160_human
Q8N6U8 gp161_human
Q16538 gp162_human
O14626 gp171_human
Q9NS66 gp173_human
Q9BXC1 gp174_human
Q14439 gp176_human
O15218 gp182_human
P32249 gp183_human
B9TS27 b9ts27_9tele
Q9BXB1 lgr4_human
O75473 lgr5_human
Q9HBX8 lgr6_human
P04201 mas_human
P35410 mas1l_human
Q8TDS7 mrgrd_human
Q86SM8 mrgre_human
Q96AM1 mrgrf_human
Q86SM5 mrgrg_human
Q96LB2 mrgx1_human
Q96LB1 mrgx2_human
Q96LB0 mrgx3_human
Q96LA9 mrgx4_human
Q86VZ1 p2ry8_human
K4GR13 k4gr13_9saur
Q9P1P5 taar2_human
Q9P1P4 taar3_human
O14804 taar5_human
Q96RI8 taar6_human
Q969N4 taar8_human
Q96RI9 taar9_human
P30988 calcr_human
Q16602 calrl_human
P34998 crfr1_human
Q13324 crfr2_human
Q02643 ghrhr_human
P48546 gipr_human
P43220 glp1r_human
O95838 glp2r_human
P47871 glr_human
R9RF09 r9rf09_chims
P47872 sctr_human
Q03431 pth1r_human
P49190 pth2r_human
P41586 pacr_human
P32241 vipr1_human
P41587 vipr2_human
O14514 bai1_human
O60241 agrb2_human
Q8IZP9 agrg2_human
O60242 agrb3_human
P48960 cd97_human
Q9NYQ6 celr1_human
Q9HCU4 celr2_human
Q9NYQ7 celr3_human
Q9HBW9 agrl4_human
Q14246 agre1_human
Q9UHX3 agre2_human
Q9BY15 agre3_human
Q86SQ3 agre4_human
Q9Y653 gpr56_human
D3Z8R1 d3z8r1_rat
Q86Y34 agrg3_human
Q8WXG9 gpr98_human
Q5T601 agrf1_human
Q8IZF7 agrf2_human
Q8IZF6 agrg4_human
Q8IZF5 agrf3_human
Q8IZF4 agrg5_human
Q8IZF3 agrf4_human
Q8IZF2 agrf5_human
Q86SQ6 agra1_human
Q9NZH0 gpc5b_human
Q96PE1 gp124_human
Q8IWK6 agra3_human
Q86SQ4 gp126_human
Q96K78 agrg7_human
Q6QNK2 agrd1_human
Q7Z7M1 agrd2_human
Q9NQ84 gpc5c_human
Q9NZD1 gpc5d_human
O94910 lphn1_human
O95490 agrl2_human
Q9HAR2 lphn3_human
P41180 casr_human
Q5T6X5 gpc6a_human
Q9UBS5 gabr1_human
O75899 gabr2_human
Q13255 grm1_human
Q14416 grm2_human
Q14832 grm3_human
Q14833 grm4_human
P41594 grm5_human
O15303 grm6_human
P79243 fpr3_pantr
Q14831 grm7_human
O00222 grm8_human
Q7RTX1 ts1r1_human
Q8TE23 ts1r2_human
Q7RTX0 ts1r3_human
Q8NFN8 gp156_human
Q5T848 gp158_human
Q6PRD1 gp179_human
Q8NFJ5 rai3_human
Q8BHB8 q8bhb8_mouse
Q9UP38 fzd1_human
Q14332 fzd2_human
Q9NPG1 fzd3_human
Q9ULV1 fzd4_human
Q13467 fzd5_human
O60353 fzd6_human
